MainText,Phishing,Label,CleanText
Sams Club/ Summer prizes has just arrived only for limited time get your chance here: https://network3.blob.core.windows.net/twhqvz/twhqvz.html ,0.0,ham,sams club summer prizes arrived limited time get chance httpsnetwork3blobcorewindowsnettwhqvztwhqvzhtml
"T-Mobile / Rush Hour is back, as T-mobile customer you have received massive discount on offers up to 100.00 USD. Visit: https://mobile1.blob.core.windows.net/25897/25897.html Tap and hold to pin",0.0,ham,tmobile rush hour back tmobile customer received massive discount offers 10000 usd visit httpsmobile1blobcorewindowsnet2589725897html tap hold pin
FRM:Oprahstoday.com Discount#EX455123150 MSG:This giveaway is oprahs largest everl Discount#EX455123150,0.0,ham,frmoprahstodaycom discountex455123150 msgthis giveaway oprahs largest everl discountex455123150
FRM:|Voucher#VX832774| oprahstoday.com MSG:Oprah is doing her biggest giveawayl Voucher#VX832774,0.0,ham,frmvouchervx832774 oprahstodaycom msgoprah biggest giveawayl vouchervx832774
"NETFLIX REMINDER. Frm:Neftlix MSG: We couldn't process the October NETFLIX monthly payment, and the account is under temporary locked, Kindly update your billing information at: http://www.web.billing problem3868.b3k5h.com to regain full access to your account and avoid any restrictions. NET-58259957 Stop.SMS rates may apply October-membership.",0.0,ham,netflix reminder frmneftlix msg couldnt process october netflix monthly payment account temporary locked kindly update billing information httpwwwwebbilling problem3868b3k5hcom regain full access account avoid restrictions net58259957 stopsms rates may apply octobermembership
FRM:www.OprahDeals.sbs (sms_ID=VRWDSAD614) MSG:Oprah's Biggest Give Away Ever! (sms_ID=VRWDSAD614),0.0,ham,frmwwwoprahdealssbs smsidvrwdsad614 msgoprahs biggest give away ever smsidvrwdsad614
Your Wife will Love Your Boner laughramble.com/67YLUw,0.0,ham,wife love boner laughramblecom67yluw
FRM:www.Oprahs.diet (Voucher#CIGS97) MSG:Were Announcing Oprah's Latest Natural Flavor Dietary Candy Give  Away (Voucher#CIGS97),0.0,ham,frmwwwoprahsdiet vouchercigs97 msgwere announcing oprahs latest natural flavor dietary candy give away vouchercigs97
"Delivery Service - Your p@ackage has arrived at the distribution center, your address format is incorrect please update:http://qr.co6.info/ui69",1.0,smish,delivery service package arrived distribution center address format incorrect please updatehttpqrco6infoui69
"Treat yourself today and tomorrow when you register at Costco. Get your card valued at $55, this will not last too long. Yes, you can share! http://sidedeity.finance/lgUzySA5",0.0,ham,treat today tomorrow register costco get card valued 55 last long yes share httpsidedeityfinancelguzysa5
"EDD- A new login was detected in Flint, Michigan visit http://e-d-d-safety022.duckdns.org/a if that was not you.",4.0,smish,edd new login detected flint michigan visit httpeddsafety022duckdnsorga
<Subject: Friend Req> Do Hey It looks like we live really close. Check me out 3woe.xyz/bApNnm3lur Lets chat and maybe meet up soon. Talk soon,0.0,ham,subject friend req hey looks like live really close check 3woexyzbapnnm3lur lets chat maybe meet soon talk soon
"Amazon.com: We found a suspicious transaction, for security reasons we have deactivated your account. please secure and verify your payment method to reactivate your account, click and follow the instructions from the following link: https://l.ead.me/Amazon-Account-Verify-ID9517453",2.0,smish,amazoncom found suspicious transaction security reasons deactivated account please secure verify payment method reactivate account click follow instructions following link httpsleadmeamazonaccountverifyid9517453
"<Subject: Unusual Activity> : We've suspend your Amazon account due to unusual activity. New Login attempt has been blocked from : Mozilla Firefox 8.7 120.12.194.127 - Russia] Your Amazon account has been locked by our system. If this wasn't you, please verify with link below: https://lindsy352.preview.softr.app/?t=1659623895934 ",0.0,ham,subject unusual activity weve suspend amazon account due unusual activity new login attempt blocked mozilla firefox 87 12012194127 russia amazon account locked system wasnt please verify link httpslindsy352previewsoftrappt1659623895934
"Notification From Amazon: We've locked your Amazon account due to a billing issue. To unlock your Amazon account, please click link below: https://notification-accountid.lnk.to/resolveaccount?secure-acoount&?=https://amazon.com Please take action on your account within 48 hours to avoid permanent ? View all",0.0,ham,notification amazon weve locked amazon account due billing issue unlock amazon account please click link httpsnotificationaccountidlnktoresolveaccountsecureacoounthttpsamazoncom please take action account within 48 hours avoid permanent view
CVS Appreciation Week: Complete Quick Survey and Earn up to $100 in CVS Credit swellingcipher.com/wnX1r9,0.0,ham,cvs appreciation week complete quick survey earn 100 cvs credit swellingciphercomwnx1r9
WOW $100 for 1-2 Minute Walmart Servey appliedtriumph.com/HW3SV3,0.0,ham,wow 100 12 minute walmart servey appliedtriumphcomhw3sv3
Earn up to $100 in Walmart Store Value. Please finish survey to earn rewards encumberrapidit.com/b4xUQc,0.0,ham,earn 100 walmart store value please finish survey earn rewards encumberrapiditcomb4xuqc
"GROW UR COCK 2+ INCHES, STAY STIFF FOR HOURS slanderchapter.com/LC6JHd",0.0,ham,grow ur cock 2 inches stay stiff hours slanderchaptercomlc6jhd
Get the Biggest Dick For Her spikefibrous.com/TrarTX,0.0,ham,get biggest dick spikefibrouscomtrartx
OMG you can add so much length and girth. Free trial ends today quotienteminent.com/UbMa99,2.0,smish,omg add much length girth free trial ends today quotienteminentcomubma99
NOTICE: Venmo $100 was Deposited to Your VENMO Account. Please Claim it Here Within 24 Hours MMS http://lossfighting.com/5D2wSz ,0.0,ham,notice venmo 100 deposited venmo account please claim within 24 hours mms httplossfightingcom5d2wsz
Ultimate GiveAway by HomeDepot http://securitywe.yokohama/s4Wm9i,0.0,ham,ultimate giveaway homedepot httpsecurityweyokohamas4wm9i
"We'll be awarding $50 to the first 10,000 people who complete this inquiry in order to better serve CVS members. CVS can be very helpful if you're not feeling well. http://seizingblessing.directory/BZnYMyug",0.0,ham,well awarding 50 first 10000 people complete inquiry order better serve cvs members cvs helpful youre feeling well httpseizingblessingdirectorybznymyug
"According to your usecase, you qualify to use a full policy pack for your auto for just 19/mth! Tap to get: aaprmm6pc2.co/5zoily Reply Stop to OPTOUT ",0.0,ham,according usecase qualify use full policy pack auto 19mth tap get aaprmm6pc2co5zoily reply stop optout
Simple return of 45$ when you submit easy info. http://addressknowing.digital/UOCLWkls,0.0,ham,simple return 45 submit easy info httpaddressknowingdigitaluoclwkls
summertime is done and ur still looking huge in the mirror. try this for a week and eliminate more than you can imagine. http://voicetabular.boutique/ju67rmG2,0.0,ham,summertime done ur still looking huge mirror try week eliminate imagine httpvoicetabularboutiqueju67rmg2
IceHouse: This little compact AC gives a blast of freezing-cool air: order it right now with discount ng4kaszp8.co/4apued3m Reply END to unsubscribe,0.0,ham,icehouse little compact ac gives blast freezingcool air order right discount ng4kaszp8co4apued3m reply end unsubscribe
"Walgreens: We want to choose along our few other 420 shoppers reserving 1 prize for a 60 sec survey. Offer ends in 5 hours jkigr.cc/IB5sXLZ Aug 1, 6:45 AM",0.0,ham,walgreens want choose along 420 shoppers reserving 1 prize 60 sec survey offer ends 5 hours jkigrccib5sxlz aug 1 645
Test our new-formula cream for 7 days and your friends won't believe it's you. Real lifting! idwaxp51og.co/a09c Reply Stop to OPTOUT,0.0,ham,test newformula cream 7 days friends wont believe real lifting idwaxp51ogcoa09c reply stop optout
Pay $40 for full vehicle insurance. Limited-number of proposals. Hurry and click: egxi6aqx8r.co/zz5welj Reply END to unsubscribe,0.0,ham,pay 40 full vehicle insurance limitednumber proposals hurry click egxi6aqx8rcozz5welj reply end unsubscribe
Credit score update: There is your current credit score. To receive details open link! 5wac5ltscn.co/oaktfqv Reply END to unsubscribe ,0.0,ham,credit score update current credit score receive details open link 5wac5ltscncooaktfqv reply end unsubscribe
We may send up to $250 for gasoline if you complete this select survey. Believe in you! a56cyklri.co/1hyv3 Reply END to unsubscribe ,0.0,ham,may send 250 gasoline complete select survey believe a56cyklrico1hyv3 reply end unsubscribe
No need to work out - just 1 glass before night and your plump belly fades quickly! kh5niapbp4.co/fs4h Reply Stop to OPTOUT ,0.0,ham,need work 1 glass night plump belly fades quickly kh5niapbp4cofs4h reply stop optout
"[Notification ] Update your payment details as soon as possible. We're having some trouble with your current billing information. Click link below to update your billing information : https://gotommbr.myclickfunnels.com/ Best Regards, The Netflix team",0.0,ham,notification update payment details soon possible trouble current billing information click link update billing information httpsgotommbrmyclickfunnelscom best regards netflix team
"Your card charged for $349 for Domesis Matthewson Recliner Charcoal Gray. order id AMZ1649751 on 12-13-2022. If you DO NOT, Please contact us +18772214408",,ham,card charged 349 domesis matthewson recliner charcoal gray order id amz1649751 12132022 please contact us 18772214408
"FRM:Unit-VJKXU SUBJ:CS_ID: 106109122 MSG: Your shipment 55511 could not be delivered. To reschedule, continue below:https://lnkd.in/eZXKcEdF",0.0,ham,frmunitvjkxu subjcsid 106109122 msg shipment 55511 could delivered reschedule continue belowhttpslnkdinezxkcedf
FRM:Cathy Goad MSG:Yolanda Vitela 12002 Allegheny St https://kstu.hair/rbZ4A68x,0.0,ham,frmcathy goad msgyolanda vitela 12002 allegheny st httpskstuhairrbz4a68x
"Work Part-Job From Home at your leisure This Won't disturb you from your current job, Age 18yrs above employee must of a computer and printer..If interested send sms to James +1 (509) 785-6416 for details",,ham,work partjob home leisure wont disturb current job age 18yrs employee must computer printerif interested send sms james 1 509 7856416 details
"TIMESENSITIVENOTICE: Exposed to UnsafeWater? If you or someone you love were stationed, worked, or lived for at least 30 days at Marine Corps Base CAMPIeJEUNE prior to 1988, you may be entitled to significantCOMPENSATION. Get your noCOST-Consultation by calling: 1-833-597-2291",,ham,timesensitivenotice exposed unsafewater someone love stationed worked lived least 30 days marine corps base campiejeune prior 1988 may entitled significantcompensation get nocostconsultation calling 18335972291
"place our Add on your vehicle & paid seven hundred dollars wkly, for more details? hit https://bit.ly/3NhkqSn",1.0,smish,place add vehicle paid seven hundred dollars wkly details hit httpsbitly3nhkqsn
<B Of A># : Your account has been locked due to fraud attempt made on 22 DEC. To prevent account closure please visit https://s.id/1tuDl to verify O° A,0.0,ham,b account locked due fraud attempt made 22 dec prevent account closure please visit httpssid1tudl verify o°
"BofA Alert: We 've placed a hold on your debit/atm card due to some unusual activity, To recover Visit https://profib04.com and verify your identity",0.0,ham,bofa alert placed hold debitatm card due unusual activity recover visit httpsprofib04com verify identity
Your package cannot be delivered due to incorrect house number. Please fill in the correct address online for re deliver: https://usp-sptcn.top,8.0,smish,package delivered due incorrect house number please fill correct address online deliver httpsuspsptcntop
"[U.S.P.S-Postal]: You have a package with wrong address in our transit warehouse, please update your address. Access. upsshipping.io/keGL6LxbyYpQN8z",8.0,smish,uspspostal package wrong address transit warehouse please update address access upsshippingiokegl6lxbyypqn8z
"BOFA Alerts: Possible transaction attempt Jan 17,2023 of $1350.59,believe not made by you kindly contact us on 1877-928-5810 now",,ham,bofa alerts possible transaction attempt jan 172023 135059believe made kindly contact us 18779285810
this is officer Collins with the icac internet crimes against children criminal investigation division I'm going to need you to contact me back here immediately sir! ,,ham,officer collins icac internet crimes children criminal investigation division im going need contact back immediately sir
USPS: Your delivery has not completed due to address validation issues. Access uspstrack-ot.info for assistance with redelivery.,2.0,smish,usps delivery completed due address validation issues access uspstrackotinfo assistance redelivery
"FreeMsg_WFargo: Your billpay did not process as scheduled, we are here to help you solve it. Follow Ipsf/wfargo to review",,ham,freemsgwfargo billpay process scheduled help solve follow ipsfwfargo review
Get Paid! Only takes 2 minutes http://boardingma.shopping/fEXyQZ,0.0,ham,get paid takes 2 minutes httpboardingmashoppingfexyqz
BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at https://sec03boa.com/bRZQK to prevent identity theft. O,8.0,smish,boa online profile probable association system vulnerability log verify details httpssec03boacombrzqk prevent identity theft
"Subject: New Device Login A login attempt to your Amazon Shopping was made from an unknown browser. Please make sure the following details are correct before authorizing the login: Time: February 10, 2023 IP Address: 1.22.542.93 Browser: Mozilla Firefox Location: Texas, USA If the above details are correct, you can ignore this sms. If this not you click the following link to update your account. scnv.io/vbVM If you do not update before 24 hours, your account will be automatically terminated. ",4.0,smish,subject new device login login attempt amazon shopping made unknown browser please make sure following details correct authorizing login time february 10 2023 ip address 12254293 browser mozilla firefox location texas usa details correct ignore sms click following link update account scnviovbvm update 24 hours account automatically terminated
Order #113-87368244-001 confirmed! Est. delivery 03/23. Total: $2249.78. Questions? Call 8557672244. Reply STOP to opt-out. Happy shopping!,,ham,order 11387368244001 confirmed est delivery 0323 total 224978 questions call 8557672244 reply stop optout happy shopping
"Delivery service: Provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. After replying ""OK"", reconfirm your address http://usedps.com/go/Tracking/Q11U3 Please update it timely.Open link in browser ",3.0,smish,delivery service provide correct delivery address avoid delay receiving goods due incomplete door number replying ok reconfirm address httpusedpscomgotrackingq11u3 please update timelyopen link browser
"Your shipping order is on hold due to an incomplete street address in the shipping information. Check, please. ptycglvlogd.info/Rdeu 1:26 PM",0.0,ham,shipping order hold due incomplete street address shipping information check please ptycglvlogdinfordeu 126 pm
"UNIONBANK<ATTENTION> A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://www.UnionBank.Org_@bit.ly/3T1lhlE to cancel payment. ",1.0,smish,unionbankattention payment 20000 made chasemorgan credit didnt authorize visit httpswwwunionbankorgbitly3t1lhle cancel payment
"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: http://s953782679.onlinehome.us/custapp Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service ",0.0,ham,amazon account locked recently received multiple failed login attempts account recovery account immediately click link bellow https953782679onlinehomeuscustapp please take action account within 48 hours avoid permanent suspension regards amazon service
"[U.S.P.S-Postal]: You have a package with wrong address in our transit warehouse, please update your address. Access.  upsshipping.io/keGL6Lxb21O9aom",4.0,smish,uspspostal package wrong address transit warehouse please update address access upsshippingiokegl6lxb21o9aom
EDD CA UI: Your EDD debit has been Temporarily DISABLED. Refer to http://myverifylink.cf Reply STOP to OPT-Out,0.0,ham,edd ca ui edd debit temporarily disabled refer httpmyverifylinkcf reply stop optout
VZW FreeMsg: Important - your payment is now due. To make a payment click http://mobile.vzw.com/paybill or dial #PMT (#768) from your handset.,0.0,ham,vzw freemsg important payment due make payment click httpmobilevzwcompaybill dial pmt 768 handset
"Amazon: Congratulations Henry, you came 3rd in today's Amazon pods raffle! Click the link to : b2gxv.info/5ssC5f2SEG",0.0,ham,amazon congratulations henry came 3rd todays amazon pods raffle click link b2gxvinfo5ssc5f2seg
VEVOR: Don't miss our must-buy list! Weekly updated with the best promotions and offers! Hurry!>> https://zgz.nu/df9aoZbT Reply STOP to stop ,0.0,ham,vevor dont miss mustbuy list weekly updated best promotions offers hurry httpszgznudf9aozbt reply stop stop
Your Prick Will Get So Big That She'll Choke On It! thomasanquetin.com/wVAFt7,0.0,ham,prick get big shell choke thomasanquetincomwvaft7
"[EE]:We were unable to process your latest bill. In order to avoid fees, update your billing information via: https://ee.uk.billing45.com/?ee=2",1.0,smish,eewe unable process latest bill order avoid fees update billing information via httpseeukbilling45comee2
costco promo : iPhone 14 on us winner line: 6197729441 Color: Purple Storage: 256GB dawlmterreabrbie.com/phone.html,0.0,ham,costco promo iphone 14 us winner line 6197729441 color purple storage 256gb dawlmterreabrbiecomphonehtml
FRM:www.ClaimRefund.info (sms_ID=IYMVQIT264) MSG:Netflix is Refunding you $65. Remaining Time to Claim (48) hr (sms_ID=IYMVQIT264),4.0,smish,frmwwwclaimrefundinfo smsidiymvqit264 msgnetflix refunding 65 remaining time claim 48 hr smsidiymvqit264
Your AMAZON account is temporarily restricted. Please confirm to restore access :// Inkd.in/gHghxQ3U Reply STOP to opt-out,0.0,ham,amazon account temporarily restricted please confirm restore access inkdinghghxq3u reply stop optout
Amazon.com We temporarily placed your Amazon suspended To restore follow instruction below. https://www.weblaunch.hu/free/main38/mail?=749000072 Please complete recovery within 2 days otherwise Amazon account permanently suspended. We are sorry for any inconvenience this may have caused. Thank you for your attention. O,3.0,smish,amazoncom temporarily placed amazon suspended restore follow instruction httpswwwweblaunchhufreemain38mail749000072 please complete recovery within 2 days otherwise amazon account permanently suspended sorry inconvenience may caused thank attention
"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account : http://s955064170.onlinehome.us/itsy?_glbsas Regards, Netflix Pte. Ltd.",0.0,ham,membership hold using account normally need update trouble current billing information click link bellow update account https955064170onlinehomeusitsyglbsas regards netflix pte ltd
"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recover your account immediately click link bellow: http://s954844695.onlinehome.us/act?_recovrAccount Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",0.0,ham,amazon account locked recently received multiple failed login attempts account recover account immediately click link bellow https954844695onlinehomeusactrecovraccount please take action account within 48 hours avoid permanent suspension regards amazon service
This is a gift to express our gratitude for your exceptional payment record. HAPPY 2023! T Mobile POSC9.XYZ/YgSpZZjZoh,0.0,ham,gift express gratitude exceptional payment record happy 2023 mobile posc9xyzygspzzjzoh
"1 Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account: http://restart-membership.com:911@s956455895.onlinehome.us/atcc/?_pagesxacctx Regards, Netflix Pte. Ltd.",1.0,smish,1 membership hold using account normally need update trouble current billing information click link bellow update account httprestartmembershipcom911s956455895onlinehomeusatccpagesxacctx regards netflix pte ltd
(Amazon: Account locked.more info WOTw1W3X.safelinkamz.us/?UserID-IAIUF ~) ol6f0 O A,0.0,ham,amazon account lockedmore info wotw1w3xsafelinkamzususeridiaiuf ol6f0
Amazon.com 976595 is your Amazon OTP. Do not share it with anyone If you didnt make this request login to verif below https://website.roomraccoon.com/free/help96/mail?=70352032 Otherwise ignore this message. Amazon Team O,1.0,smish,amazoncom 976595 amazon otp share anyone didnt make request login verif httpswebsiteroomraccooncomfreehelp96mail70352032 otherwise ignore message amazon team
"Your Amazon Account has been locked. We recently received multiple failed login attempts on your account. Recover your account immediately by click link bellow: http://s953495841.onlinehome.us/fix?_recovrAccount Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",0.0,ham,amazon account locked recently received multiple failed login attempts account recover account immediately click link bellow https953495841onlinehomeusfixrecovraccount please take action account within 48 hours avoid permanent suspension regards amazon service
"Dear to join our BtC discussion Study Group, where you can learn to earn 600-4000 per day, Please click whatsapp://chat/?code=GOCVGBKOzmb0FmmQBgwddb uw ",,ham,dear join btc discussion study group learn earn 6004000 per day please click whatsappchatcodegocvgbkozmb0fmmqbgwddb uw
"Your PayPal has been limited. We have frozen your PayPal cause our service has detected two unauthorized attempt. To unlock your account, you required verify your Account. Click the link below to unlock your Account : http://s953223476.onlinehome.us/ Your account will be automatically unlock, after finishing the verification. Best Regards, PayPal Support.",3.0,smish,paypal limited frozen paypal cause service detected two unauthorized attempt unlock account required verify account click link unlock account https953223476onlinehomeus account automatically unlock finishing verification best regards paypal support
"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: http://s954845653.onlinehome.us/global-umbrella/?_wof2fjhboo Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",0.0,ham,amazon account locked recently received multiple failed login attempts account recovery account immediately click link bellow https954845653onlinehomeusglobalumbrellawof2fjhboo please take action account within 48 hours avoid permanent suspension regards amazon service
"Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: http://s952788954.onlinehome.us/?snpl_2_1_db77b4d1 Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",3.0,smish,amazon account locked recently received multiple failed login attempts account recovery account immediately click link bellow https952788954onlinehomeussnpl21db77b4d1 please take action account within 48 hours avoid permanent suspension regards amazon service
1 5 Minute Survey For $100 Gift From Home Depot http://conquerpassing.com/L7NHjn,0.0,ham,1 5 minute survey 100 gift home depot httpconquerpassingcoml7nhjn
"Your Account has been limited. We have locked your Account ID because our service has detected two unauthorized attempt. To unlock your account, you required verify your Account. Click the link below to unlock your Account : http://s950712130.onlinehome.us Your account will be automatically unlock, after finishing the verification. Best Regards, Paypal service. O",3.0,smish,account limited locked account id service detected two unauthorized attempt unlock account required verify account click link unlock account https950712130onlinehomeus account automatically unlock finishing verification best regards paypal service
Don't ever leave home without it ... the Tiger or the WOOD http://healthdoor.boutique/d8uGZhsJ,0.0,ham,dont ever leave home without tiger wood httphealthdoorboutiqued8ugzhsj
"I'm showing you a comprehensive plan for your car, available for just 19 a month. Open: mla0q2djmf.co/jszuy Reply END to unsubscribe ",0.0,ham,im showing comprehensive plan car available 19 month open mla0q2djmfcojszuy reply end unsubscribe
$100 Store Credit for Finishing Quick Walmart Survey nearhonor.com/dZDijo ,0.0,ham,100 store credit finishing quick walmart survey nearhonorcomdzdijo
FRM:oprahstoday.com/ Discount#LL123367615 MSG:Biggest Giveaway Oprah Has Ever Done| Discount#LL123367615,0.0,ham,frmoprahstodaycom discountll123367615 msgbiggest giveaway oprah ever done discountll123367615
FRM:Wells-Fargo_stsj MSG:Alert Ref:WWRPq!Card Locked! Read complete msg now : https://forms.gle/wfmtmZUfZ7d5bcJX6?XujiLSn,0.0,ham,frmwellsfargostsj msgalert refwwrpqcard locked read complete msg httpsformsglewfmtmzufz7d5bcjx6xujilsn
(Call 8775594996 Now ! 290#) Your Debit.Card have been locked! Account-ID: 9515019974! ,,ham,call 8775594996 290 debitcard locked accountid 9515019974
chatwhatsapp.me/aXclhpU4CXfm5 ,0.0,ham,chatwhatsappmeaxclhpu4cxfm5
CVS Customers: Finish this Survey and earn up to $100 in CVS Credit. This Special Deal ends tomorrow idlenessflame.com/rJRcsY 8:49 AM,0.0,ham,cvs customers finish survey earn 100 cvs credit special deal ends tomorrow idlenessflamecomrjrcsy 849
"4:36 Text Message Sun, Oct 30, 5:14 PM FRM:Voucher#VX554228| oprahstoday.com MSG: Oprah is doing her biggest giveaway] Voucher#VX554228",0.0,ham,436 text message sun oct 30 514 pm frmvouchervx554228 oprahstodaycom msg oprah biggest giveaway vouchervx554228
$100 Store Credit for Finishing Quick Walmart Survey ð nearhonor.com/dZDij0,0.0,ham,100 store credit finishing quick walmart survey ð nearhonorcomdzdij0
FRM:6r9y-(_-UPS-ohBvp SUBJ:www.xuwk4v-upsa.us//6qj9ihch18920# MSG: :wVURUADrn8-a4 ,0.0,ham,frm6r9yupsohbvp subjwwwxuwk4vupsaus6qj9ihch18920 msg wvuruadrn8a4
2 MIN Survey - 100 Reward centurysever.com/2MbuXy ,0.0,ham,2 min survey 100 reward centurysevercom2mbuxy
Free Citi Msgs #311: Your debit has been blocked due to irregular activity. To certify please follow: hub7news.com/s,0.0,ham,free citi msgs 311 debit blocked due irregular activity certify please follow hub7newscoms
4:37 FRM:www.CelebTMZ.buzz (sms_ID=SHFJVXU438) MSG:Oprah's Biggest Give Away Ever! (sms_ID=SHFJVXU438),0.0,ham,437 frmwwwcelebtmzbuzz smsidshfjvxu438 msgoprahs biggest give away ever smsidshfjvxu438
5 Minute Survey For $100 Gift From Home Depot http://wreathcrossbow.com/ZpRotm,0.0,ham,5 minute survey 100 gift home depot httpwreathcrossbowcomzprotm
FRM:#4ta.UPS.se4 Rd SUBJ:http://ups.comw-ykgedh.world//1qsyl3rv21 MSG:Out for delivery:missing location info(Error) . Thank you O,0.0,ham,frm4taupsse4 rd subjhttpupscomwykgedhworld1qsyl3rv21 msgout deliverymissing location infoerror thank
This is a gift to express our gratitude for your exceptional payment record. Merry Christmas! x0ang.info/hYE427wAom,0.0,ham,gift express gratitude exceptional payment record merry christmas x0anginfohye427waom
"NtxID:265569 Your-Subscriptions-will-expired-t oday,renewal-your-bills-now>:// 9qr.de/itCwLh",1.0,smish,ntxid265569 yoursubscriptionswillexpiredt odayrenewalyourbillsnow 9qrdeitcwlh
"WELLSFARGO: Your Zelle pay of $1250 to Ray*****@gmail.com is on Hold, Visit https://wellsfargo-zellepayment.com to Confirm or Cancel ",4.0,smish,wellsfargo zelle pay 1250 raygmailcom hold visit httpswellsfargozellepaymentcom confirm cancel
"Welcome to join our BtC discussion Study Group, where you can learn to earn 500-5000 per day, Please click whatsapp://chat/?code=15Ro5nXJ3Eml36gE3JZk7Taf",,ham,welcome join btc discussion study group learn earn 5005000 per day please click whatsappchatcode15ro5nxj3eml36ge3jzk7taf
Bank Of America Fraud Dep: Your Debit card has been restricted due to unusual transactions. see here: https://web21cen.in/boal/,0.0,ham,bank america fraud dep debit card restricted due unusual transactions see httpsweb21ceninboal
FRM:398f_UPS-_____yThXk SUBJ:www.nlrhc5m-upsi.us//na76f5Cg48967# MSG: :RZ8ibReG7M ,0.0,ham,frm398fupsythxk subjwwwnlrhc5mupsiusna76f5cg48967 msg rz8ibreg7m
"Home Depot Study, Get Paid Today http://hireprevio.shopping/ybFO3G ",0.0,ham,home depot study get paid today httphireprevioshoppingybfo3g
Freebie by Home Depot! Get $90 http://profaneblo.yokohama/DhA4u1 9:32 PM,0.0,ham,freebie home depot get 90 httpprofanebloyokohamadha4u1 932 pm
"FRM:alerts@bankofthewest.com SUBJ: (Bank of the West) MSG:For Security review, Due to unusual activity,verify account at: https://tinyurl.com/2e2e85bw",1.0,smish,frmalertsbankofthewestcom subj bank west msgfor security review due unusual activityverify account httpstinyurlcom2e2e85bw
"<Subject: PayPal Msg,> New login detected from: [173.49.213.22 - Oman ] Android Follow link below to unlock your account: eb4.us/a4f64a26 verify your account within 24 hours or your PayPal account will be terminated permanently. Regards, PayPal ID 617065",6.0,smish,subject paypal msg new login detected 1734921322 oman android follow link unlock account eb4usa4f64a26 verify account within 24 hours paypal account terminated permanently regards paypal id 617065
make sure to pick up what they have at Cost co because they hardly ever give away 60$. So you have to get it when you can. http://tonestrength.financial/7Mu7T15C ,0.0,ham,make sure pick cost co hardly ever give away 60 get httptonestrengthfinancial7mu7t15c
FRM:Navy Federal Credit Union.DEBIT LOCKED SUBJ:Contact 8443998279 MSG::7268,,ham,frmnavy federal credit uniondebit locked subjcontact 8443998279 msg7268
"Congratulation, You have been given a free $1,000 fund by UNICEF. This program is for the people affected with covid19 pandemic. To claim your funds, click on this link https://forms.gle/tmfZY2iQzA9T6x557 O'",0.0,ham,congratulation given free 1000 fund unicef program people affected covid19 pandemic claim funds click link httpsformsgletmfzy2iqza9t6x557
"<Subject: Notification : 84781> Due to a problem with your card information, we have disabled your amazon account for your security reasons. To unlock your account please follow link below: https://app.mailingboss.com/index.php/campaigns /63857c6fb397b/track-url/637fa8badd3d6/3143bbe318bdc11cead986a59dae0d6178a579c8 This is only v",0.0,ham,subject notification 84781 due problem card information disabled amazon account security reasons unlock account please follow link httpsappmailingbosscomindexphpcampaigns 63857c6fb397btrackurl637fa8badd3d63143bbe318bdc11cead986a59dae0d6178a579c8 v
FRM:Altura CU. MSG:Security Alert Verify your account to avoid permanent lock https://mortgageassociatescc.com/acr/Alturacu,0.0,ham,frmaltura cu msgsecurity alert verify account avoid permanent lock httpsmortgageassociatescccomacralturacu
4:42 FRM:Navy Federal Credit Union.DEBIT LOCKED SUBJ:Contact 8443998279 MSG::1294,,ham,442 frmnavy federal credit uniondebit locked subjcontact 8443998279 msg1294
"To earn, simply respond! Yes, let us know what you think. Costco will get you back up to $100 for each participation. http://inflatecoupling.ventures/10EcgOrr 12:42 PM",0.0,ham,earn simply respond yes let us know think costco get back 100 participation httpinflatecouplingventures10ecgorr 1242 pm
Hi juytrplmwsaqz.us,0.0,ham,hi juytrplmwsaqzus
FRM:esmlfl-UPS-2 MSG:803-We tried to deliver your parcel today but you weren't in or there was no safe place to leave it e103c-ups.com/?=bej,0.0,ham,frmesmlflups2 msg803we tried deliver parcel today werent safe place leave e103cupscombej
(Security Warning-cqo3-Contact our 24/7 Support: 8557961050 #) EBT-Card is currently Frozen! MessageID for 9515019974! ,,ham,security warningcqo3contact 247 support 8557961050 ebtcard currently frozen messageid 9515019974
"(NETFLX) We have failed 3 times to extend your sub,fix your bill now > ://lnkd.in/g7jb5b_7",0.0,ham,netflx failed 3 times extend subfix bill lnkding7jb5b7
